category,sub-category
,Category:Coming to America (film series)
,Category:The Conjuring Universe
,Category:Critters (franchise)
,Category:Crocodile Dundee
,Category:The Crow films
,Category:Daria films
,Category:The Dark Knight Trilogy
,Category:Deathstalker (film series)
,Category:Dirty Dancing films
,Category:Eating Out (film series)
,Category:The Evil Dead (franchise)
,Category:The Fairly OddParents films
,Category:Final Destination films
,Category:The Fly (franchise)
,Category:Foster's Home for Imaginary Friends films
,Category:Free Willy (franchise)
,Category:Friday the 13th (franchise)
,Category:Fright Night (franchise)
,Category:From Dusk till Dawn (franchise)
,Category:Ghoulies (film series)
,Category:The Godfather films
,Category:Gremlins (franchise)
,Category:The Grim Adventures of Billy & Mandy films
,Category:Halloween (franchise)
,Category:Halloweentown (film series)
,Category:Hellboy films
,Category:Home video
,Category:The Hunger Games (film series)
,Category:I Know What You Did Last Summer (franchise)
,Category:Indiana Jones films
,Category:Insidious (film series)
,Category:James Bond films
,Category:Jaws (franchise)
,Category:Jeepers Creepers (film series)
,Category:Jimmy Neutron films
,Category:Jurassic Park films
,Category:Kim Possible films
,Category:King Kong (franchise)
,Category:King Kong (franchise) films
,Category:The Land Before Time
,Category:Legally Blonde (franchise)
,Category:Lone Ranger films
,Category:The Lost Boys (franchise)
,Category:Mad Max films
,Category:Magnificent Seven films
,Category:Marvel Cinematic Universe films
,Category:The Matrix (franchise) films
,Category:Mission: Impossible films
,Category:MonsterVerse
,Category:Mummy films
,Category:The Mummy (franchise)
,Category:The NeverEnding Story (film series)
,Category:Night of the Living Dead (film series)
,Category:A Nightmare on Elm Street (franchise)
,Category:Ocean's (film series)
,Category:The Omen (franchise)
,Category:Pacific Rim (franchise)
,Category:Paranormal Activity (film series)
,Category:Phantasm (franchise)
,Category:Phineas and Ferb films
,Category:Pidgin English-language films
,Category:Pirates of the Caribbean (film series) films
,Category:Poltergeist (franchise)
,Category:Power Rangers films
,Category:Predator (franchise)
,Category:The Prince & Me films
,Category:Private Snafu
,Category:Prom Night (film series)
,Category:Psycho (franchise) films
,Category:The Purge
,Category:Hindi remakes of English films
,Category:Richie Rich (film series)
,Category:Robin Hood films
,Category:Saw (franchise)
,Category:Scanners (film series)
,Category:Scary Movie (film series)
,Category:Scream (film series)
,Category:Scream (franchise)
,"Category:Silent Night, Deadly Night (film series)"
,Category:SpongeBob SquarePants (film series)
,Category:Star Trek (film franchise)
,Category:Star Wars films
,Category:Teenage Mutant Ninja Turtles films
,Category:Terminator (franchise)
,Category:The Texas Chainsaw Massacre (franchise)
,Category:The Thin Man films
,Category:The Thing (franchise)
,Category:Films based on Thunderbirds (TV series)
,Category:Tintin films
,Category:Titanic (1997 film)
,Category:The Toxic Avenger (franchise)
,Category:Transformers films
,Category:Tremors (franchise)
,Category:Unbreakable (film series)
,Category:Underworld (film series)
,Category:Unfriended (film series)
,Category:Upcoming English-language films
,Category:XXX (film series)
,Category:Zenon
,Category:Zorro films
Armenian diaspora in Lebanon,Category:Armenian expatriates in Lebanon
,Category:Armenian communities in Lebanon
,Category:Armenian football clubs in Lebanon
,Category:Armenian-Lebanese culture
,Category:Lebanese people of Armenian descent
Lebanese nationalist parties,Category:Kataeb Party
1970s in Iran,Category:1970s disestablishments in Iran
,Category:1970s establishments in Iran
,Category:1970 in Iran
,Category:1971 in Iran
,Category:1972 in Iran
,Category:1973 in Iran
,Category:1974 in Iran
,Category:1975 in Iran
,Category:1976 in Iran
,Category:1977 in Iran
,Category:1978 in Iran
,Category:1979 in Iran
,Category:1970s crimes in Iran
,Category:1970s elections in Iran
,Category:1970s in Iranian sport
,Category:1970s in Tehran
,Category:1970s in Iranian television
Foreign relations of Saudi Arabia,Category:Ambassadors of Saudi Arabia
,Category:Ambassadors to Saudi Arabia
,Category:Bilateral relations of Saudi Arabia
,Category:Borders of Saudi Arabia
,Category:People deported from Saudi Arabia
,Category:Saudi Arabian diplomats
,Category:Saudi Arabia diplomacy-related lists
,Category:Diplomatic conferences in Saudi Arabia
,Category:Diplomatic missions in Saudi Arabia
